car_name,brand,model,year,selling_price_lakh,km_driven,fuel,seller_type,transmission,owner,mileage_kmpl,engine_cc,max_power_bhp,seats,car_age,price_per_10k_km,price_segment,mileage_category,age_group
Volkswagen Taigun,Volkswagen,Taigun,2014,2.91,130424,Petrol,Individual,Automatic,First Owner,16.4,1153.0,68.7,7,11,0.2231184444580752,Budget,Medium,8-12 years
Tata Altroz,Tata,Altroz,2012,2.36,132785,Diesel,Dealer,Automatic,First Owner,16.5,930.0,72.6,5,13,0.17773091840192792,Budget,Medium,13+ years
Renault Duster,Renault,Duster,2020,4.2,49697,Petrol,Individual,Automatic,Second Owner,20.0,1214.0,57.4,5,5,0.8451214359015636,Mid-range,High,4-7 years
Ford EcoSport,Ford,EcoSport,2020,5.13,84710,Diesel,Dealer,Automatic,First Owner,17.7,1317.0,81.9,5,5,0.60559556132688,Mid-range,Medium,4-7 years
Maruti Swift,Maruti,Swift,2022,4.49,47287,Petrol,Trustmark Dealer,Manual,First Owner,15.4,1051.0,77.0,5,3,0.9495210100027492,Mid-range,Medium,0-3 years
Mahindra Bolero,Mahindra,Bolero,2024,7.71,20343,Petrol,Trustmark Dealer,Manual,First Owner,19.1,800.0,51.7,5,1,3.790001474708745,Mid-range,High,0-3 years
Volkswagen Virtus,Volkswagen,Virtus,2018,3.78,100511,CNG,Individual,Manual,First Owner,13.2,2091.0,132.6,5,7,0.3760782401926157,Budget,Medium,4-7 years
Volkswagen Taigun,Volkswagen,Taigun,2022,6.13,82233,Petrol,Dealer,Automatic,Second Owner,17.7,1187.0,73.8,5,3,0.7454428270888815,Mid-range,Medium,0-3 years
Maruti Swift,Maruti,Swift,2021,5.41,89587,Diesel,Individual,Automatic,First Owner,19.8,821.0,65.8,5,4,0.6038822597028587,Mid-range,High,4-7 years
Tata Harrier,Tata,Harrier,2015,2.04,129477,Petrol,Dealer,Automatic,First Owner,22.0,966.0,69.6,7,10,0.15755694061493547,Budget,High,8-12 years
Tata Nexon,Tata,Nexon,2022,5.08,28983,Diesel,Individual,Automatic,Second Owner,23.0,1139.0,56.9,5,3,1.7527516130145258,Mid-range,High,0-3 years
Kia Sonet,Kia,Sonet,2012,4.42,106557,Diesel,Dealer,Automatic,First Owner,18.0,1139.0,80.7,7,13,0.41480146775903975,Mid-range,Medium,13+ years
Toyota Fortuner,Toyota,Fortuner,2019,5.88,134417,Petrol,Individual,Manual,Second Owner,13.2,1656.0,103.8,5,6,0.43744466845711477,Mid-range,Medium,4-7 years
Renault Kwid,Renault,Kwid,2024,6.74,35461,Petrol,Individual,Automatic,Third Owner,18.0,1172.0,90.8,5,1,1.900679619864076,Mid-range,Medium,0-3 years
Tata Harrier,Tata,Harrier,2020,3.55,97938,Petrol,Individual,Manual,First Owner,15.1,1849.0,119.9,5,5,0.36247421838305866,Budget,Medium,4-7 years
Hyundai i20,Hyundai,i20,2024,8.01,43387,Electric,Individual,Manual,Third Owner,18.3,1049.0,78.7,5,1,1.8461751215801967,Premium,High,0-3 years
Honda Amaze,Honda,Amaze,2012,2.69,138252,Petrol,Individual,Manual,First Owner,18.7,1349.0,83.5,5,13,0.19457223041981309,Budget,High,13+ years
Maruti Baleno,Maruti,Baleno,2018,2.43,83568,Petrol,Dealer,Manual,First Owner,20.8,1558.0,94.4,5,7,0.2907811602527283,Budget,High,4-7 years
Renault Triber,Renault,Triber,2022,4.84,83853,Diesel,Dealer,Manual,First Owner,12.6,1618.0,103.8,5,3,0.5772005772005772,Mid-range,Medium,0-3 years
Toyota Innova,Toyota,Innova,2020,6.46,87509,Petrol,Dealer,Manual,First Owner,14.8,1659.0,103.4,5,5,0.7382097841364889,Mid-range,Medium,4-7 years
Volkswagen Vento,Volkswagen,Vento,2023,6.5,55137,Petrol,Dealer,Manual,First Owner,21.9,1105.0,86.5,5,2,1.1788816946877778,Mid-range,High,0-3 years
Hyundai Grand i10,Hyundai,Grand i10,2018,4.17,74396,Petrol,Individual,Automatic,First Owner,17.3,1198.0,79.7,5,7,0.5605140061293618,Mid-range,Medium,4-7 years
