car_name,brand,model,year,selling_price_lakh,km_driven,fuel,seller_type,transmission,owner,mileage_kmpl,engine_cc,max_power_bhp,seats
Volkswagen Taigun,Volkswagen,Taigun,2014,2.91,130424,Petrol,Individual,Automatic,First Owner,16.4,1153.0,68.7,7
Tata Altroz,Tata,Altroz,2012,2.36,132785,Diesel,Dealer,Automatic,First Owner,16.5,930.0,72.6,5
Renault Duster,Renault,Duster,2020,4.2,49697,Petrol,Individual,Automatic,Second Owner,20.0,,57.4,5
Ford EcoSport,Ford,EcoSport,2020,5.13,84710,Diesel,Dealer,Automatic,First Owner,17.7,1317.0,,5
Maruti Swift,Maruti,Swift,2022,4.49,47287,Petrol,Trustmark Dealer,Manual,First Owner,15.4,1051.0,77.0,5
Mahindra Bolero,Mahindra,Bolero,2024,7.71,20343,Petrol,Trustmark Dealer,Manual,First Owner,19.1,800.0,51.7,5
Volkswagen Virtus,Volkswagen,Virtus,2018,3.78,100511,CNG,Individual,Manual,First Owner,13.2,2091.0,132.6,5
Volkswagen Taigun,Volkswagen,Taigun,2022,6.13,82233,Petrol,Dealer,Automatic,Second Owner,17.7,1187.0,73.8,5
Maruti Swift,Maruti,Swift,2021,5.41,89587,Diesel,Individual,Automatic,First Owner,19.8,821.0,65.8,5
Tata Harrier,Tata,Harrier,2015,2.04,129477,Petrol,Dealer,Automatic,First Owner,22.0,966.0,69.6,7
Tata Nexon,Tata,Nexon,2022,5.08,28983,Diesel,Individual,Automatic,Second Owner,23.0,1139.0,56.9,5
Kia Sonet,Kia,Sonet,2012,4.42,106557,Diesel,Dealer,Automatic,First Owner,18.0,1139.0,80.7,7
Toyota Fortuner,Toyota,Fortuner,2019,5.88,134417,Petrol,Individual,Manual,Second Owner,13.2,1656.0,103.8,5
Renault Kwid,Renault,Kwid,2024,6.74,35461,Petrol,Individual,Automatic,Third Owner,18.0,1172.0,90.8,5
Tata Harrier,Tata,Harrier,2020,3.55,97938,Petrol,Individual,Manual,First Owner,15.1,1849.0,119.9,5
Hyundai i20,Hyundai,i20,2024,8.01,43387,Electric,Individual,Manual,Third Owner,,1049.0,78.7,5
Honda Amaze,Honda,Amaze,2012,2.69,138252,Petrol,Individual,Manual,First Owner,18.7,1349.0,83.5,5
Maruti Baleno,Maruti,Baleno,2018,2.43,83568,Petrol,Dealer,Manual,First Owner,20.8,1558.0,94.4,5
